run_id,question_id,chunking_strategy,embedding_model,config_key,hit_at_k,recall_at_k,reciprocal_rank,ndcg_at_k,retrieval_hit,embedding_latency_ms,search_latency_ms,item_status,error_message,created_at
RQ1_FIXED_SIZE_BGE_M3_V1,Q001,FIXED_SIZE,BGE_M3,FIXED_SIZE:BGE_M3:5,1,1,1,1,t,176,8,COMPLETED,,2026-07-12 18:24:24.037213
RQ1_FIXED_SIZE_BGE_M3_V1,Q002,FIXED_SIZE,BGE_M3,FIXED_SIZE:BGE_M3:5,1,1,1,1,t,124,6,COMPLETED,,2026-07-12 18:24:24.173341
RQ1_FIXED_SIZE_BGE_M3_V1,Q003,FIXED_SIZE,BGE_M3,FIXED_SIZE:BGE_M3:5,1,1,1,1,t,147,5,COMPLETED,,2026-07-12 18:24:24.333422
RQ1_FIXED_SIZE_BGE_M3_V1,Q004,FIXED_SIZE,BGE_M3,FIXED_SIZE:BGE_M3:5,1,1,1,1,t,151,5,COMPLETED,,2026-07-12 18:24:24.496309
RQ1_FIXED_SIZE_BGE_M3_V1,Q005,FIXED_SIZE,BGE_M3,FIXED_SIZE:BGE_M3:5,1,1,1,1,t,133,5,COMPLETED,,2026-07-12 18:24:24.640637
RQ1_FIXED_SIZE_BGE_M3_V1,Q006,FIXED_SIZE,BGE_M3,FIXED_SIZE:BGE_M3:5,1,1,1,1,t,143,5,COMPLETED,,2026-07-12 18:24:24.794438
RQ1_FIXED_SIZE_BGE_M3_V1,Q007,FIXED_SIZE,BGE_M3,FIXED_SIZE:BGE_M3:5,1,1,1,1,t,142,6,COMPLETED,,2026-07-12 18:24:24.947846
RQ1_FIXED_SIZE_BGE_M3_V1,Q008,FIXED_SIZE,BGE_M3,FIXED_SIZE:BGE_M3:5,1,1,1,1,t,151,5,COMPLETED,,2026-07-12 18:24:25.110195
RQ1_FIXED_SIZE_BGE_M3_V1,Q009,FIXED_SIZE,BGE_M3,FIXED_SIZE:BGE_M3:5,1,1,1,1,t,140,4,COMPLETED,,2026-07-12 18:24:25.260787
RQ1_FIXED_SIZE_BGE_M3_V1,Q010,FIXED_SIZE,BGE_M3,FIXED_SIZE:BGE_M3:5,1,1,1,1,t,141,5,COMPLETED,,2026-07-12 18:24:25.412902
RQ1_FIXED_SIZE_BGE_M3_V1,Q011,FIXED_SIZE,BGE_M3,FIXED_SIZE:BGE_M3:5,0,0,0,0,f,133,4,COMPLETED,,2026-07-12 18:24:25.55583
RQ1_FIXED_SIZE_BGE_M3_V1,Q012,FIXED_SIZE,BGE_M3,FIXED_SIZE:BGE_M3:5,1,1,1,1,t,133,6,COMPLETED,,2026-07-12 18:24:25.700998
RQ1_FIXED_SIZE_BGE_M3_V1,Q013,FIXED_SIZE,BGE_M3,FIXED_SIZE:BGE_M3:5,1,1,1,1,t,168,4,COMPLETED,,2026-07-12 18:24:25.880495
RQ1_FIXED_SIZE_BGE_M3_V1,Q014,FIXED_SIZE,BGE_M3,FIXED_SIZE:BGE_M3:5,1,1,1,1,t,149,5,COMPLETED,,2026-07-12 18:24:26.041609
RQ1_FIXED_SIZE_BGE_M3_V1,Q015,FIXED_SIZE,BGE_M3,FIXED_SIZE:BGE_M3:5,1,1,1,1,t,140,5,COMPLETED,,2026-07-12 18:24:26.192133
