run_id,question_id,chunking_strategy,embedding_model,config_key,hit_at_k,recall_at_k,reciprocal_rank,ndcg_at_k,retrieval_hit,embedding_latency_ms,search_latency_ms,item_status,error_message,created_at
RQ1_SEMANTIC_BGE_M3_V1,Q001,SEMANTIC,BGE_M3,SEMANTIC:BGE_M3:5,1,1,1,1,t,164,8,COMPLETED,,2026-07-12 19:00:12.168448
RQ1_SEMANTIC_BGE_M3_V1,Q002,SEMANTIC,BGE_M3,SEMANTIC:BGE_M3:5,1,1,1,1,t,131,5,COMPLETED,,2026-07-12 19:00:12.310521
RQ1_SEMANTIC_BGE_M3_V1,Q003,SEMANTIC,BGE_M3,SEMANTIC:BGE_M3:5,1,1,1,1,t,134,6,COMPLETED,,2026-07-12 19:00:12.455723
RQ1_SEMANTIC_BGE_M3_V1,Q004,SEMANTIC,BGE_M3,SEMANTIC:BGE_M3:5,1,1,1,1,t,138,5,COMPLETED,,2026-07-12 19:00:12.605283
RQ1_SEMANTIC_BGE_M3_V1,Q005,SEMANTIC,BGE_M3,SEMANTIC:BGE_M3:5,1,1,1,1,t,137,7,COMPLETED,,2026-07-12 19:00:12.755407
RQ1_SEMANTIC_BGE_M3_V1,Q006,SEMANTIC,BGE_M3,SEMANTIC:BGE_M3:5,1,1,1,1,t,149,6,COMPLETED,,2026-07-12 19:00:12.917927
RQ1_SEMANTIC_BGE_M3_V1,Q007,SEMANTIC,BGE_M3,SEMANTIC:BGE_M3:5,1,1,0.25,0.43067655807339306,t,143,5,COMPLETED,,2026-07-12 19:00:13.072883
RQ1_SEMANTIC_BGE_M3_V1,Q008,SEMANTIC,BGE_M3,SEMANTIC:BGE_M3:5,1,1,1,1,t,137,6,COMPLETED,,2026-07-12 19:00:13.222493
RQ1_SEMANTIC_BGE_M3_V1,Q009,SEMANTIC,BGE_M3,SEMANTIC:BGE_M3:5,1,1,1,1,t,134,5,COMPLETED,,2026-07-12 19:00:13.368017
RQ1_SEMANTIC_BGE_M3_V1,Q010,SEMANTIC,BGE_M3,SEMANTIC:BGE_M3:5,1,1,0.3333333333333333,0.5,t,133,6,COMPLETED,,2026-07-12 19:00:13.512929
RQ1_SEMANTIC_BGE_M3_V1,Q011,SEMANTIC,BGE_M3,SEMANTIC:BGE_M3:5,0,0,0,0,f,128,5,COMPLETED,,2026-07-12 19:00:13.652749
RQ1_SEMANTIC_BGE_M3_V1,Q012,SEMANTIC,BGE_M3,SEMANTIC:BGE_M3:5,0,0,0,0,f,124,6,COMPLETED,,2026-07-12 19:00:13.788089
RQ1_SEMANTIC_BGE_M3_V1,Q013,SEMANTIC,BGE_M3,SEMANTIC:BGE_M3:5,1,1,1,1,t,128,5,COMPLETED,,2026-07-12 19:00:13.927251
RQ1_SEMANTIC_BGE_M3_V1,Q014,SEMANTIC,BGE_M3,SEMANTIC:BGE_M3:5,1,1,0.5,0.6309297535714574,t,139,5,COMPLETED,,2026-07-12 19:00:14.077045
RQ1_SEMANTIC_BGE_M3_V1,Q015,SEMANTIC,BGE_M3,SEMANTIC:BGE_M3:5,1,1,1,1,t,158,5,COMPLETED,,2026-07-12 19:00:14.246493
RQ1_SEMANTIC_BGE_M3_V1,Q016,SEMANTIC,BGE_M3,SEMANTIC:BGE_M3:5,1,1,1,1,t,114,5,COMPLETED,,2026-07-12 19:00:14.371331
RQ1_SEMANTIC_BGE_M3_V1,Q017,SEMANTIC,BGE_M3,SEMANTIC:BGE_M3:5,1,1,1,1,t,120,6,COMPLETED,,2026-07-12 19:00:14.502892
RQ1_SEMANTIC_BGE_M3_V1,Q018,SEMANTIC,BGE_M3,SEMANTIC:BGE_M3:5,1,1,0.5,0.6309297535714574,t,150,5,COMPLETED,,2026-07-12 19:00:14.663888
RQ1_SEMANTIC_BGE_M3_V1,Q019,SEMANTIC,BGE_M3,SEMANTIC:BGE_M3:5,1,1,1,1,t,130,5,COMPLETED,,2026-07-12 19:00:14.805055
RQ1_SEMANTIC_BGE_M3_V1,Q020,SEMANTIC,BGE_M3,SEMANTIC:BGE_M3:5,1,1,1,1,t,123,5,COMPLETED,,2026-07-12 19:00:14.939116
RQ1_SEMANTIC_BGE_M3_V1,Q021,SEMANTIC,BGE_M3,SEMANTIC:BGE_M3:5,1,1,1,1,t,124,5,COMPLETED,,2026-07-12 19:00:15.074284
RQ1_SEMANTIC_BGE_M3_V1,Q022,SEMANTIC,BGE_M3,SEMANTIC:BGE_M3:5,1,1,1,1,t,141,6,COMPLETED,,2026-07-12 19:00:15.226677
RQ1_SEMANTIC_BGE_M3_V1,Q023,SEMANTIC,BGE_M3,SEMANTIC:BGE_M3:5,1,1,0.25,0.43067655807339306,t,136,6,COMPLETED,,2026-07-12 19:00:15.374956
RQ1_SEMANTIC_BGE_M3_V1,Q024,SEMANTIC,BGE_M3,SEMANTIC:BGE_M3:5,1,1,0.25,0.43067655807339306,t,142,5,COMPLETED,,2026-07-12 19:00:15.52819
RQ1_SEMANTIC_BGE_M3_V1,Q025,SEMANTIC,BGE_M3,SEMANTIC:BGE_M3:5,1,1,1,1,t,117,5,COMPLETED,,2026-07-12 19:00:15.656489
RQ1_SEMANTIC_BGE_M3_V1,Q026,SEMANTIC,BGE_M3,SEMANTIC:BGE_M3:5,0,0,0,0,f,108,6,COMPLETED,,2026-07-12 19:00:15.772532
RQ1_SEMANTIC_BGE_M3_V1,Q027,SEMANTIC,BGE_M3,SEMANTIC:BGE_M3:5,1,1,1,1,t,149,7,COMPLETED,,2026-07-12 19:00:15.933775
RQ1_SEMANTIC_BGE_M3_V1,Q028,SEMANTIC,BGE_M3,SEMANTIC:BGE_M3:5,1,1,1,1,t,182,5,COMPLETED,,2026-07-12 19:00:16.126875
RQ1_SEMANTIC_BGE_M3_V1,Q029,SEMANTIC,BGE_M3,SEMANTIC:BGE_M3:5,0,0,0,0,f,143,5,COMPLETED,,2026-07-12 19:00:16.280782
RQ1_SEMANTIC_BGE_M3_V1,Q030,SEMANTIC,BGE_M3,SEMANTIC:BGE_M3:5,1,1,1,1,t,134,6,COMPLETED,,2026-07-12 19:00:16.426269
RQ1_SEMANTIC_BGE_M3_V1,Q031,SEMANTIC,BGE_M3,SEMANTIC:BGE_M3:5,1,1,1,1,t,142,6,COMPLETED,,2026-07-12 19:00:16.58034
RQ1_SEMANTIC_BGE_M3_V1,Q032,SEMANTIC,BGE_M3,SEMANTIC:BGE_M3:5,1,1,1,1,t,132,5,COMPLETED,,2026-07-12 19:00:16.723296
RQ1_SEMANTIC_BGE_M3_V1,Q033,SEMANTIC,BGE_M3,SEMANTIC:BGE_M3:5,1,1,0.5,0.6309297535714574,t,111,5,COMPLETED,,2026-07-12 19:00:16.845645
RQ1_SEMANTIC_BGE_M3_V1,Q034,SEMANTIC,BGE_M3,SEMANTIC:BGE_M3:5,1,1,1,1,t,125,7,COMPLETED,,2026-07-12 19:00:16.983101
RQ1_SEMANTIC_BGE_M3_V1,Q035,SEMANTIC,BGE_M3,SEMANTIC:BGE_M3:5,1,1,1,1,t,127,6,COMPLETED,,2026-07-12 19:00:17.122311
RQ1_SEMANTIC_BGE_M3_V1,Q036,SEMANTIC,BGE_M3,SEMANTIC:BGE_M3:5,0,0,0,0,f,159,6,COMPLETED,,2026-07-12 19:00:17.29407
RQ1_SEMANTIC_BGE_M3_V1,Q037,SEMANTIC,BGE_M3,SEMANTIC:BGE_M3:5,1,1,1,1,t,116,6,COMPLETED,,2026-07-12 19:00:17.421639
RQ1_SEMANTIC_BGE_M3_V1,Q038,SEMANTIC,BGE_M3,SEMANTIC:BGE_M3:5,1,1,0.5,0.6309297535714574,t,135,6,COMPLETED,,2026-07-12 19:00:17.567905
RQ1_SEMANTIC_BGE_M3_V1,Q039,SEMANTIC,BGE_M3,SEMANTIC:BGE_M3:5,1,1,0.3333333333333333,0.5,t,136,5,COMPLETED,,2026-07-12 19:00:17.71545
RQ1_SEMANTIC_BGE_M3_V1,Q040,SEMANTIC,BGE_M3,SEMANTIC:BGE_M3:5,0,0,0,0,f,147,6,COMPLETED,,2026-07-12 19:00:17.873697
RQ1_SEMANTIC_BGE_M3_V1,Q041,SEMANTIC,BGE_M3,SEMANTIC:BGE_M3:5,1,1,1,1,t,150,5,COMPLETED,,2026-07-12 19:00:18.034888
RQ1_SEMANTIC_BGE_M3_V1,Q042,SEMANTIC,BGE_M3,SEMANTIC:BGE_M3:5,1,1,0.5,0.6309297535714574,t,133,5,COMPLETED,,2026-07-12 19:00:18.178839
RQ1_SEMANTIC_BGE_M3_V1,Q043,SEMANTIC,BGE_M3,SEMANTIC:BGE_M3:5,1,1,1,1,t,132,5,COMPLETED,,2026-07-12 19:00:18.321938
RQ1_SEMANTIC_BGE_M3_V1,Q044,SEMANTIC,BGE_M3,SEMANTIC:BGE_M3:5,1,1,1,1,t,134,6,COMPLETED,,2026-07-12 19:00:18.467039
RQ1_SEMANTIC_BGE_M3_V1,Q045,SEMANTIC,BGE_M3,SEMANTIC:BGE_M3:5,0,0,0,0,f,113,5,COMPLETED,,2026-07-12 19:00:18.591379
RQ1_SEMANTIC_BGE_M3_V1,Q046,SEMANTIC,BGE_M3,SEMANTIC:BGE_M3:5,1,1,1,1,t,129,5,COMPLETED,,2026-07-12 19:00:18.732181
RQ1_SEMANTIC_BGE_M3_V1,Q047,SEMANTIC,BGE_M3,SEMANTIC:BGE_M3:5,1,1,0.5,0.6309297535714574,t,154,7,COMPLETED,,2026-07-12 19:00:18.899022
RQ1_SEMANTIC_BGE_M3_V1,Q048,SEMANTIC,BGE_M3,SEMANTIC:BGE_M3:5,1,1,1,1,t,133,5,COMPLETED,,2026-07-12 19:00:19.044704
RQ1_SEMANTIC_BGE_M3_V1,Q049,SEMANTIC,BGE_M3,SEMANTIC:BGE_M3:5,1,1,1,1,t,143,4,COMPLETED,,2026-07-12 19:00:19.198421
RQ1_SEMANTIC_BGE_M3_V1,Q050,SEMANTIC,BGE_M3,SEMANTIC:BGE_M3:5,1,1,1,1,t,133,5,COMPLETED,,2026-07-12 19:00:19.342368
