run_id,question_id,chunking_strategy,embedding_model,config_key,hit_at_k,recall_at_k,reciprocal_rank,ndcg_at_k,retrieval_hit,embedding_latency_ms,search_latency_ms,item_status,error_message,created_at
RQ2_HIERARCHICAL_PHOBERT_BASE_V1,Q001,HIERARCHICAL,PHOBERT_BASE,HIERARCHICAL:PHOBERT_BASE:5,0,0,0,0,f,71,14,COMPLETED,,2026-07-12 20:03:19.883803
RQ2_HIERARCHICAL_PHOBERT_BASE_V1,Q002,HIERARCHICAL,PHOBERT_BASE,HIERARCHICAL:PHOBERT_BASE:5,0,0,0,0,f,35,6,COMPLETED,,2026-07-12 20:03:19.932189
RQ2_HIERARCHICAL_PHOBERT_BASE_V1,Q003,HIERARCHICAL,PHOBERT_BASE,HIERARCHICAL:PHOBERT_BASE:5,1,1,0.2,0.38685280723454163,t,41,7,COMPLETED,,2026-07-12 20:03:19.986236
RQ2_HIERARCHICAL_PHOBERT_BASE_V1,Q004,HIERARCHICAL,PHOBERT_BASE,HIERARCHICAL:PHOBERT_BASE:5,0,0,0,0,f,36,6,COMPLETED,,2026-07-12 20:03:20.034039
RQ2_HIERARCHICAL_PHOBERT_BASE_V1,Q005,HIERARCHICAL,PHOBERT_BASE,HIERARCHICAL:PHOBERT_BASE:5,1,1,1,1,t,33,6,COMPLETED,,2026-07-12 20:03:20.078639
RQ2_HIERARCHICAL_PHOBERT_BASE_V1,Q006,HIERARCHICAL,PHOBERT_BASE,HIERARCHICAL:PHOBERT_BASE:5,0,0,0,0,f,42,7,COMPLETED,,2026-07-12 20:03:20.132581
RQ2_HIERARCHICAL_PHOBERT_BASE_V1,Q007,HIERARCHICAL,PHOBERT_BASE,HIERARCHICAL:PHOBERT_BASE:5,1,1,1,1,t,37,6,COMPLETED,,2026-07-12 20:03:20.181617
RQ2_HIERARCHICAL_PHOBERT_BASE_V1,Q008,HIERARCHICAL,PHOBERT_BASE,HIERARCHICAL:PHOBERT_BASE:5,0,0,0,0,f,30,7,COMPLETED,,2026-07-12 20:03:20.223536
RQ2_HIERARCHICAL_PHOBERT_BASE_V1,Q009,HIERARCHICAL,PHOBERT_BASE,HIERARCHICAL:PHOBERT_BASE:5,0,0,0,0,f,34,6,COMPLETED,,2026-07-12 20:03:20.268831
RQ2_HIERARCHICAL_PHOBERT_BASE_V1,Q010,HIERARCHICAL,PHOBERT_BASE,HIERARCHICAL:PHOBERT_BASE:5,1,1,0.5,0.6309297535714574,t,40,7,COMPLETED,,2026-07-12 20:03:20.321494
RQ2_HIERARCHICAL_PHOBERT_BASE_V1,Q011,HIERARCHICAL,PHOBERT_BASE,HIERARCHICAL:PHOBERT_BASE:5,0,0,0,0,f,42,7,COMPLETED,,2026-07-12 20:03:20.375745
RQ2_HIERARCHICAL_PHOBERT_BASE_V1,Q012,HIERARCHICAL,PHOBERT_BASE,HIERARCHICAL:PHOBERT_BASE:5,0,0,0,0,f,39,6,COMPLETED,,2026-07-12 20:03:20.42702
