run_id,question_id,chunking_strategy,embedding_model,config_key,hit_at_k,recall_at_k,reciprocal_rank,ndcg_at_k,retrieval_hit,embedding_latency_ms,search_latency_ms,item_status,error_message,created_at
RQ2_HIERARCHICAL_MULTILINGUAL_E5_BASE_V1,Q001,HIERARCHICAL,MULTILINGUAL_E5_BASE,HIERARCHICAL:MULTILINGUAL_E5_BASE:5,1,1,1,1,t,53,9,COMPLETED,,2026-07-12 20:14:27.720823
RQ2_HIERARCHICAL_MULTILINGUAL_E5_BASE_V1,Q002,HIERARCHICAL,MULTILINGUAL_E5_BASE,HIERARCHICAL:MULTILINGUAL_E5_BASE:5,1,1,1,1,t,57,6,COMPLETED,,2026-07-12 20:14:27.793861
RQ2_HIERARCHICAL_MULTILINGUAL_E5_BASE_V1,Q003,HIERARCHICAL,MULTILINGUAL_E5_BASE,HIERARCHICAL:MULTILINGUAL_E5_BASE:5,1,1,1,1,t,41,6,COMPLETED,,2026-07-12 20:14:27.84677
RQ2_HIERARCHICAL_MULTILINGUAL_E5_BASE_V1,Q004,HIERARCHICAL,MULTILINGUAL_E5_BASE,HIERARCHICAL:MULTILINGUAL_E5_BASE:5,1,1,1,1,t,39,7,COMPLETED,,2026-07-12 20:14:27.898557
RQ2_HIERARCHICAL_MULTILINGUAL_E5_BASE_V1,Q005,HIERARCHICAL,MULTILINGUAL_E5_BASE,HIERARCHICAL:MULTILINGUAL_E5_BASE:5,1,1,1,1,t,44,6,COMPLETED,,2026-07-12 20:14:27.953873
RQ2_HIERARCHICAL_MULTILINGUAL_E5_BASE_V1,Q006,HIERARCHICAL,MULTILINGUAL_E5_BASE,HIERARCHICAL:MULTILINGUAL_E5_BASE:5,1,1,1,1,t,63,9,COMPLETED,,2026-07-12 20:14:28.031741
RQ2_HIERARCHICAL_MULTILINGUAL_E5_BASE_V1,Q007,HIERARCHICAL,MULTILINGUAL_E5_BASE,HIERARCHICAL:MULTILINGUAL_E5_BASE:5,1,1,0.5,0.6309297535714574,t,50,6,COMPLETED,,2026-07-12 20:14:28.094425
RQ2_HIERARCHICAL_MULTILINGUAL_E5_BASE_V1,Q008,HIERARCHICAL,MULTILINGUAL_E5_BASE,HIERARCHICAL:MULTILINGUAL_E5_BASE:5,1,1,1,1,t,45,6,COMPLETED,,2026-07-12 20:14:28.151189
RQ2_HIERARCHICAL_MULTILINGUAL_E5_BASE_V1,Q009,HIERARCHICAL,MULTILINGUAL_E5_BASE,HIERARCHICAL:MULTILINGUAL_E5_BASE:5,1,1,1,1,t,38,5,COMPLETED,,2026-07-12 20:14:28.200083
RQ2_HIERARCHICAL_MULTILINGUAL_E5_BASE_V1,Q010,HIERARCHICAL,MULTILINGUAL_E5_BASE,HIERARCHICAL:MULTILINGUAL_E5_BASE:5,1,1,1,1,t,41,5,COMPLETED,,2026-07-12 20:14:28.251394
RQ2_HIERARCHICAL_MULTILINGUAL_E5_BASE_V1,Q011,HIERARCHICAL,MULTILINGUAL_E5_BASE,HIERARCHICAL:MULTILINGUAL_E5_BASE:5,0,0,0,0,f,36,6,COMPLETED,,2026-07-12 20:14:28.29905
RQ2_HIERARCHICAL_MULTILINGUAL_E5_BASE_V1,Q012,HIERARCHICAL,MULTILINGUAL_E5_BASE,HIERARCHICAL:MULTILINGUAL_E5_BASE:5,1,1,1,1,t,35,7,COMPLETED,,2026-07-12 20:14:28.34638
RQ2_HIERARCHICAL_MULTILINGUAL_E5_BASE_V1,Q013,HIERARCHICAL,MULTILINGUAL_E5_BASE,HIERARCHICAL:MULTILINGUAL_E5_BASE:5,1,1,1,1,t,34,5,COMPLETED,,2026-07-12 20:14:28.391636
RQ2_HIERARCHICAL_MULTILINGUAL_E5_BASE_V1,Q014,HIERARCHICAL,MULTILINGUAL_E5_BASE,HIERARCHICAL:MULTILINGUAL_E5_BASE:5,0,0,0,0,f,33,6,COMPLETED,,2026-07-12 20:14:28.435864
RQ2_HIERARCHICAL_MULTILINGUAL_E5_BASE_V1,Q015,HIERARCHICAL,MULTILINGUAL_E5_BASE,HIERARCHICAL:MULTILINGUAL_E5_BASE:5,0,0,0,0,f,44,6,COMPLETED,,2026-07-12 20:14:28.491349
RQ2_HIERARCHICAL_MULTILINGUAL_E5_BASE_V1,Q016,HIERARCHICAL,MULTILINGUAL_E5_BASE,HIERARCHICAL:MULTILINGUAL_E5_BASE:5,0,0,0,0,f,35,6,COMPLETED,,2026-07-12 20:14:28.53831
RQ2_HIERARCHICAL_MULTILINGUAL_E5_BASE_V1,Q017,HIERARCHICAL,MULTILINGUAL_E5_BASE,HIERARCHICAL:MULTILINGUAL_E5_BASE:5,1,1,1,1,t,43,6,COMPLETED,,2026-07-12 20:14:28.592999
RQ2_HIERARCHICAL_MULTILINGUAL_E5_BASE_V1,Q018,HIERARCHICAL,MULTILINGUAL_E5_BASE,HIERARCHICAL:MULTILINGUAL_E5_BASE:5,1,1,1,1,t,45,6,COMPLETED,,2026-07-12 20:14:28.648827
RQ2_HIERARCHICAL_MULTILINGUAL_E5_BASE_V1,Q019,HIERARCHICAL,MULTILINGUAL_E5_BASE,HIERARCHICAL:MULTILINGUAL_E5_BASE:5,1,1,1,1,t,42,6,COMPLETED,,2026-07-12 20:14:28.702515
RQ2_HIERARCHICAL_MULTILINGUAL_E5_BASE_V1,Q020,HIERARCHICAL,MULTILINGUAL_E5_BASE,HIERARCHICAL:MULTILINGUAL_E5_BASE:5,1,1,1,1,t,49,6,COMPLETED,,2026-07-12 20:14:28.763277
RQ2_HIERARCHICAL_MULTILINGUAL_E5_BASE_V1,Q021,HIERARCHICAL,MULTILINGUAL_E5_BASE,HIERARCHICAL:MULTILINGUAL_E5_BASE:5,1,1,1,1,t,45,6,COMPLETED,,2026-07-12 20:14:28.819867
RQ2_HIERARCHICAL_MULTILINGUAL_E5_BASE_V1,Q022,HIERARCHICAL,MULTILINGUAL_E5_BASE,HIERARCHICAL:MULTILINGUAL_E5_BASE:5,1,1,1,1,t,51,6,COMPLETED,,2026-07-12 20:14:28.882585
RQ2_HIERARCHICAL_MULTILINGUAL_E5_BASE_V1,Q023,HIERARCHICAL,MULTILINGUAL_E5_BASE,HIERARCHICAL:MULTILINGUAL_E5_BASE:5,0,0,0,0,f,39,5,COMPLETED,,2026-07-12 20:14:28.931758
RQ2_HIERARCHICAL_MULTILINGUAL_E5_BASE_V1,Q024,HIERARCHICAL,MULTILINGUAL_E5_BASE,HIERARCHICAL:MULTILINGUAL_E5_BASE:5,1,1,0.25,0.43067655807339306,t,40,5,COMPLETED,,2026-07-12 20:14:28.981612
RQ2_HIERARCHICAL_MULTILINGUAL_E5_BASE_V1,Q025,HIERARCHICAL,MULTILINGUAL_E5_BASE,HIERARCHICAL:MULTILINGUAL_E5_BASE:5,1,1,1,1,t,38,5,COMPLETED,,2026-07-12 20:14:29.030213
RQ2_HIERARCHICAL_MULTILINGUAL_E5_BASE_V1,Q026,HIERARCHICAL,MULTILINGUAL_E5_BASE,HIERARCHICAL:MULTILINGUAL_E5_BASE:5,1,1,1,1,t,36,6,COMPLETED,,2026-07-12 20:14:29.077366
RQ2_HIERARCHICAL_MULTILINGUAL_E5_BASE_V1,Q027,HIERARCHICAL,MULTILINGUAL_E5_BASE,HIERARCHICAL:MULTILINGUAL_E5_BASE:5,1,1,1,1,t,34,6,COMPLETED,,2026-07-12 20:14:29.121715
RQ2_HIERARCHICAL_MULTILINGUAL_E5_BASE_V1,Q028,HIERARCHICAL,MULTILINGUAL_E5_BASE,HIERARCHICAL:MULTILINGUAL_E5_BASE:5,1,1,1,1,t,40,5,COMPLETED,,2026-07-12 20:14:29.17238
RQ2_HIERARCHICAL_MULTILINGUAL_E5_BASE_V1,Q029,HIERARCHICAL,MULTILINGUAL_E5_BASE,HIERARCHICAL:MULTILINGUAL_E5_BASE:5,1,1,0.2,0.38685280723454163,t,41,5,COMPLETED,,2026-07-12 20:14:29.223937
RQ2_HIERARCHICAL_MULTILINGUAL_E5_BASE_V1,Q030,HIERARCHICAL,MULTILINGUAL_E5_BASE,HIERARCHICAL:MULTILINGUAL_E5_BASE:5,1,1,1,1,t,32,5,COMPLETED,,2026-07-12 20:14:29.266292
RQ2_HIERARCHICAL_MULTILINGUAL_E5_BASE_V1,Q031,HIERARCHICAL,MULTILINGUAL_E5_BASE,HIERARCHICAL:MULTILINGUAL_E5_BASE:5,1,1,0.2,0.38685280723454163,t,40,6,COMPLETED,,2026-07-12 20:14:29.317894
RQ2_HIERARCHICAL_MULTILINGUAL_E5_BASE_V1,Q032,HIERARCHICAL,MULTILINGUAL_E5_BASE,HIERARCHICAL:MULTILINGUAL_E5_BASE:5,1,1,1,1,t,40,6,COMPLETED,,2026-07-12 20:14:29.368785
RQ2_HIERARCHICAL_MULTILINGUAL_E5_BASE_V1,Q033,HIERARCHICAL,MULTILINGUAL_E5_BASE,HIERARCHICAL:MULTILINGUAL_E5_BASE:5,0,0,0,0,f,37,6,COMPLETED,,2026-07-12 20:14:29.416657
RQ2_HIERARCHICAL_MULTILINGUAL_E5_BASE_V1,Q034,HIERARCHICAL,MULTILINGUAL_E5_BASE,HIERARCHICAL:MULTILINGUAL_E5_BASE:5,1,1,0.3333333333333333,0.5,t,33,5,COMPLETED,,2026-07-12 20:14:29.459852
RQ2_HIERARCHICAL_MULTILINGUAL_E5_BASE_V1,Q035,HIERARCHICAL,MULTILINGUAL_E5_BASE,HIERARCHICAL:MULTILINGUAL_E5_BASE:5,1,1,0.2,0.38685280723454163,t,38,6,COMPLETED,,2026-07-12 20:14:29.509348
RQ2_HIERARCHICAL_MULTILINGUAL_E5_BASE_V1,Q036,HIERARCHICAL,MULTILINGUAL_E5_BASE,HIERARCHICAL:MULTILINGUAL_E5_BASE:5,0,0,0,0,f,41,5,COMPLETED,,2026-07-12 20:14:29.561139
RQ2_HIERARCHICAL_MULTILINGUAL_E5_BASE_V1,Q037,HIERARCHICAL,MULTILINGUAL_E5_BASE,HIERARCHICAL:MULTILINGUAL_E5_BASE:5,1,1,1,1,t,37,5,COMPLETED,,2026-07-12 20:14:29.609122
RQ2_HIERARCHICAL_MULTILINGUAL_E5_BASE_V1,Q038,HIERARCHICAL,MULTILINGUAL_E5_BASE,HIERARCHICAL:MULTILINGUAL_E5_BASE:5,1,1,1,1,t,40,5,COMPLETED,,2026-07-12 20:14:29.659817
RQ2_HIERARCHICAL_MULTILINGUAL_E5_BASE_V1,Q039,HIERARCHICAL,MULTILINGUAL_E5_BASE,HIERARCHICAL:MULTILINGUAL_E5_BASE:5,0,0,0,0,f,43,6,COMPLETED,,2026-07-12 20:14:29.713959
RQ2_HIERARCHICAL_MULTILINGUAL_E5_BASE_V1,Q040,HIERARCHICAL,MULTILINGUAL_E5_BASE,HIERARCHICAL:MULTILINGUAL_E5_BASE:5,0,0,0,0,f,35,5,COMPLETED,,2026-07-12 20:14:29.759448
